,eventName,currentDoc,eventSource,insert,delete,revise,relocate,reflect,seekSugg,acceptSugg,dismissSugg,lowModification,highModification,narrativeProg,stylisticDev,characterization,argument,evidence,counterArg,rebuttal
0,suggestion-get, We are all lonely spirits waiting for our next life to unfold. ,user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,text-insert," We are all lonely spirits waiting for our next life to unfold. 
The movie is a comedy, but it is also a tragedy.
",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
4,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. 
The film was shot in the summer of 2015 in the Czech Republic.
",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
6,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,suggestion-close," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 ",user,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children.",api,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
11,suggestion-get," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. ",user,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,text-insert," We are all lonely spirits waiting for our next life to unfold. The movie is a comedy, but it is also a tragedy.
 It is about the absurdity of life, and the fact that we are all alone in this world. he film was shot in the summer of 2015 in the Czech Republic.
 A baby girl was born in a rich family. She was named Anna, and she was the youngest of five children. She had a happy childhood, but her parents died in a car accident when she was only 14 years old.",api,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
