session_id,worker_id,genre,satisfaction,confidence,ownershipSurvey,ownershipMetadata,eventName,event_id,currentDoc,eventSource,sentIndex,compose,delete,relocate,reflect,seekSugg,acceptSugg,dismissSugg,reviseSugg,reviseUser,lowModification,highModification,highTemp,lowTemp,sentSeq
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,0,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I",user,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-delete,1,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, I",user,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,2,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, ",user,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,3,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.",api,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,4,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes. ",user,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-delete,5,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes. I know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
",user,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,6,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
",user,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,7,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people.",api,4,0,0,0,0,0,1,0,0,0,0,0,1,0,2
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,8,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. ",user,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,9,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of",api,5,0,0,0,0,0,1,0,0,0,0,0,1,0,3
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,10,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of",user,5,0,0,0,0,1,0,0,0,0,0,0,1,0,3
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,11,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother?",api,5,0,0,0,0,0,1,0,0,0,0,0,1,0,3
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,12,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother?",user,5,0,0,0,0,1,0,0,0,0,0,0,1,0,3
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,13,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother? And what if your great grandparents and from the west coast of Africa, which is a very rich place with a language of its own?",api,6,0,0,0,0,0,1,0,0,0,0,0,1,0,4
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,14,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother? And what if your great grandparents and from the west coast of Africa, which is a very rich place with a language of its own?",user,6,0,0,0,0,1,0,0,0,0,0,0,1,0,4
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,15,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother? And what if your great grandparents and from the west coast of Africa, which is a very rich place with a language of its own? And what if they were actually smart?",api,7,0,0,0,0,0,1,0,0,0,0,0,1,0,5
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,suggestion-get,16,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother? And what if your great grandparents and from the west coast of Africa, which is a very rich place with a language of its own? And what if they were actually smart? ",user,7,0,0,0,0,1,0,0,0,0,0,0,1,0,5
875a0703850a4f4d97dcbacdf2690dd5,A1198W1SPF1R4,argumentative,High,Low,api,api,text-insert,17,"What Stereotypical Characters Make You Cringe?

What stereotypical characters in books, movies or television shows make you cringe and why? Would you ever not watch or read something because of its offensive portrayal of someone?

---

In my opinion, the worst stereotype to ever be put in any book or on film that I have EVER seen is African American stereotypes.  know that African Americans were enslaved and treated really terribly in the past, but you can't go around saying the N word or saying that
 black people have a different intelligence level than white people. I know that people use stereotypes to make themselves feel better because it allows them to lump black people together as a whole, but honestly what if one of those stereotypes was your mother? And what if your great grandparents and from the west coast of Africa, which is a very rich place with a language of its own? And what if they were actually smart? Would you still think that African Americans are less intelligent than white people?",api,8,0,0,0,0,0,1,0,0,0,0,0,1,0,6
